
2024/10/27 (00:27:59) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/27 (00:27:59) | DEBUG: Shared::init() : Initialized.
2024/10/27 (00:27:59) | DEBUG: Loading theme file: /home/phillip/.config/btop/themes/zinc.theme

2024/10/27 (01:02:49) | ===> btop++ v.1.4.0
2024/10/27 (01:02:49) | INFO: Logger set to DEBUG
2024/10/27 (01:02:49) | DEBUG: Using locale en_US.UTF-8
2024/10/27 (01:02:49) | INFO: Running on /dev/pts/3
2024/10/27 (01:02:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/27 (01:02:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (01:02:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/27 (01:02:49) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/27 (01:02:49) | DEBUG: Shared::init() : Initialized.
2024/10/27 (01:02:49) | DEBUG: Loading theme file: /home/phillip/.config/btop/themes/zinc.theme
